target	category	k562_cells	rpe1_cells	k562_control_count	rpe1_control_count	cross_context_eligible
INPPL1	RPE1 only	0	108	10691	11485	False
INTS1	shared	183	52	10691	11485	True
INTS10	RPE1 only	0	90	10691	11485	False
INTS12	RPE1 only	0	134	10691	11485	False
INTS13	RPE1 only	0	288	10691	11485	False
INTS14	RPE1 only	0	351	10691	11485	False
INTS2	shared	351	69	10691	11485	True
INTS3	shared	103	65	10691	11485	True
INTS4	shared	47	50	10691	11485	True
INTS5	shared	62	56	10691	11485	True
INTS6	shared	112	29	10691	11485	False
INTS7	K562 only	78	0	10691	11485	False
INTS8	shared	307	148	10691	11485	True
INTS9	shared	222	27	10691	11485	False
IPO11	RPE1 only	0	77	10691	11485	False
IPO13	shared	51	74	10691	11485	True
IPO7	RPE1 only	0	45	10691	11485	False
IPO9	shared	173	106	10691	11485	True
IRF2BP2	RPE1 only	0	76	10691	11485	False
ISCA2	RPE1 only	0	143	10691	11485	False
ISCU	shared	32	20	10691	11485	False
ISG20L2	K562 only	72	0	10691	11485	False
IST1	RPE1 only	0	182	10691	11485	False
ISY1	RPE1 only	0	40	10691	11485	False
ITGB1BP1	RPE1 only	0	41	10691	11485	False
IWS1	RPE1 only	0	106	10691	11485	False
JAZF1	shared	209	226	10691	11485	True
JMJD6	RPE1 only	0	183	10691	11485	False
KANSL1	shared	41	27	10691	11485	False
KANSL2	K562 only	151	0	10691	11485	False
KANSL3	shared	182	52	10691	11485	True
KARS	shared	45	26	10691	11485	False
KAT5	RPE1 only	0	32	10691	11485	False
KAT7	RPE1 only	0	67	10691	11485	False
KAT8	shared	254	53	10691	11485	True
KCMF1	RPE1 only	0	42	10691	11485	False
KCTD10	shared	75	99	10691	11485	True
KDM1A	RPE1 only	0	178	10691	11485	False
KDM6A	RPE1 only	0	213	10691	11485	False
KEAP1	RPE1 only	0	163	10691	11485	False
KIAA0586	RPE1 only	0	52	10691	11485	False
KIF18A	RPE1 only	0	26	10691	11485	False
KIF18B	RPE1 only	0	34	10691	11485	False
KIF20A	K562 only	95	0	10691	11485	False
KIN	shared	144	38	10691	11485	True
KLF7	RPE1 only	0	46	10691	11485	False
KLHL17	RPE1 only	0	117	10691	11485	False
KPNA6	RPE1 only	0	37	10691	11485	False
KPNB1	shared	218	177	10691	11485	True
KRI1	shared	51	43	10691	11485	True
KRR1	K562 only	398	0	10691	11485	False
KTI12	RPE1 only	0	130	10691	11485	False
LAMTOR1	RPE1 only	0	321	10691	11485	False
LAMTOR2	K562 only	64	0	10691	11485	False
LAMTOR3	RPE1 only	0	38	10691	11485	False
LAMTOR4	shared	123	122	10691	11485	True
LARS	shared	91	41	10691	11485	True
LAS1L	shared	75	41	10691	11485	True
LDB1	RPE1 only	0	78	10691	11485	False
LENG8	RPE1 only	0	48	10691	11485	False
LEO1	RPE1 only	0	30	10691	11485	False
LETM1	shared	110	153	10691	11485	True
LIN52	RPE1 only	0	31	10691	11485	False
LIN54	K562 only	281	0	10691	11485	False
LMO2	RPE1 only	0	268	10691	11485	False
LONP1	shared	109	77	10691	11485	True
LPIN1	RPE1 only	0	42	10691	11485	False
LRP5	RPE1 only	0	104	10691	11485	False
LRPPRC	shared	98	87	10691	11485	True
LRR1	RPE1 only	0	47	10691	11485	False
LSG1	shared	106	60	10691	11485	True
LSM10	shared	122	93	10691	11485	True
LSM11	K562 only	130	0	10691	11485	False
LSM12	RPE1 only	0	111	10691	11485	False
LSM2	shared	299	29	10691	11485	False
LSM3	shared	67	51	10691	11485	True
LSM4	shared	71	72	10691	11485	True
LSM5	shared	140	72	10691	11485	True
LSM6	shared	423	44	10691	11485	True
LSM7	shared	122	44	10691	11485	True
LTBP4	RPE1 only	0	107	10691	11485	False
LTV1	shared	259	25	10691	11485	False
LUC7L3	K562 only	39	0	10691	11485	False
LZTR1	RPE1 only	0	207	10691	11485	False
MAD2L1	shared	103	95	10691	11485	True
MAD2L2	RPE1 only	0	229	10691	11485	False
MAGOH	shared	149	113	10691	11485	True
MAK16	K562 only	183	0	10691	11485	False
MARS	shared	81	31	10691	11485	True
MARS2	K562 only	74	0	10691	11485	False
MASTL	RPE1 only	0	28	10691	11485	False
MAT2A	shared	45	152	10691	11485	True
MAU2	shared	61	28	10691	11485	False
MAX	shared	161	85	10691	11485	True
MBD3	RPE1 only	0	187	10691	11485	False
MBIP	RPE1 only	0	34	10691	11485	False
MBNL1	RPE1 only	0	37	10691	11485	False
MBTPS1	RPE1 only	0	184	10691	11485	False
MBTPS2	RPE1 only	0	151	10691	11485	False
MCM10	shared	190	50	10691	11485	True
MCM2	shared	114	41	10691	11485	True
MCM3	shared	109	179	10691	11485	True
MCM3AP	shared	100	70	10691	11485	True
MCM4	shared	69	36	10691	11485	True
MCM5	RPE1 only	0	55	10691	11485	False
MCM6	shared	84	120	10691	11485	True
MCM7	RPE1 only	0	38	10691	11485	False
MCMBP	shared	141	88	10691	11485	True
MDN1	shared	68	25	10691	11485	False
MED1	shared	233	56	10691	11485	True
MED10	K562 only	454	0	10691	11485	False
MED11	shared	227	32	10691	11485	True
MED12	shared	567	60	10691	11485	True
MED14	shared	114	94	10691	11485	True
MED16	RPE1 only	0	44	10691	11485	False
MED17	K562 only	143	0	10691	11485	False
MED18	RPE1 only	0	35	10691	11485	False
MED19	shared	526	195	10691	11485	True
MED20	shared	78	29	10691	11485	False
MED21	K562 only	61	0	10691	11485	False
MED22	shared	279	29	10691	11485	False
MED24	RPE1 only	0	34	10691	11485	False
MED26	K562 only	99	0	10691	11485	False
MED28	K562 only	66	0	10691	11485	False
MED29	shared	86	29	10691	11485	False
MED30	K562 only	283	0	10691	11485	False
MED31	K562 only	35	0	10691	11485	False
MED4	shared	56	59	10691	11485	True
MED6	shared	231	23	10691	11485	False
MED7	shared	265	24	10691	11485	False
MED8	shared	94	34	10691	11485	True
MED9	K562 only	119	0	10691	11485	False
MEIS3	RPE1 only	0	114	10691	11485	False
MEN1	RPE1 only	0	99	10691	11485	False
METAP1	RPE1 only	0	55	10691	11485	False
METAP2	K562 only	145	0	10691	11485	False
METTL14	shared	115	71	10691	11485	True
METTL16	shared	42	40	10691	11485	True
METTL21A	RPE1 only	0	105	10691	11485	False
METTL3	shared	127	212	10691	11485	True
MEX3A	shared	165	46	10691	11485	True
MFAP1	shared	164	58	10691	11485	True
MFN2	RPE1 only	0	211	10691	11485	False
MICOS10	K562 only	83	0	10691	11485	False
MIOS	shared	160	130	10691	11485	True
MIS12	RPE1 only	0	25	10691	11485	False
MIS18BP1	RPE1 only	0	33	10691	11485	False
MLLT6	RPE1 only	0	104	10691	11485	False
MLST8	RPE1 only	0	93	10691	11485	False
MMP17	RPE1 only	0	61	10691	11485	False
MMS19	RPE1 only	0	86	10691	11485	False
MMS22L	shared	54	33	10691	11485	True
MNAT1	shared	79	76	10691	11485	True
MOB4	shared	105	65	10691	11485	True
MON1A	RPE1 only	0	172	10691	11485	False
MPHOSPH10	shared	38	27	10691	11485	False
MPHOSPH6	RPE1 only	0	50	10691	11485	False
MRGBP	shared	68	32	10691	11485	True
MRM1	RPE1 only	0	29	10691	11485	False
MRPL10	K562 only	96	0	10691	11485	False
MRPL13	K562 only	80	0	10691	11485	False
MRPL14	K562 only	193	0	10691	11485	False
MRPL16	K562 only	73	0	10691	11485	False
MRPL17	K562 only	96	0	10691	11485	False
MRPL18	K562 only	128	0	10691	11485	False
MRPL19	shared	177	108	10691	11485	True
MRPL2	K562 only	131	0	10691	11485	False
MRPL20	RPE1 only	0	104	10691	11485	False
MRPL22	K562 only	86	0	10691	11485	False
MRPL24	K562 only	183	0	10691	11485	False
MRPL27	K562 only	88	0	10691	11485	False
MRPL3	K562 only	156	0	10691	11485	False
MRPL32	shared	62	72	10691	11485	True
MRPL33	K562 only	126	0	10691	11485	False
MRPL34	RPE1 only	0	159	10691	11485	False
MRPL35	shared	156	1452	10691	11485	True
MRPL36	shared	160	1565	10691	11485	True
MRPL37	K562 only	100	0	10691	11485	False
MRPL38	shared	132	256	10691	11485	True
MRPL39	K562 only	146	0	10691	11485	False
MRPL4	K562 only	109	0	10691	11485	False
MRPL41	K562 only	66	0	10691	11485	False
MRPL43	K562 only	90	0	10691	11485	False
MRPL49	shared	36	30	10691	11485	True
MRPL50	K562 only	147	0	10691	11485	False
MRPL51	K562 only	104	0	10691	11485	False
MRPL53	K562 only	153	0	10691	11485	False
MRPL54	K562 only	112	0	10691	11485	False
MRPL55	K562 only	153	0	10691	11485	False
MRPS10	K562 only	100	0	10691	11485	False
MRPS11	K562 only	90	0	10691	11485	False
MRPS14	shared	82	30	10691	11485	True
MRPS18A	K562 only	108	0	10691	11485	False
MRPS2	K562 only	93	0	10691	11485	False
MRPS21	K562 only	142	0	10691	11485	False
MRPS22	K562 only	142	0	10691	11485	False
MRPS23	K562 only	108	0	10691	11485	False
MRPS24	K562 only	133	0	10691	11485	False
MRPS26	K562 only	111	0	10691	11485	False
MRPS27	K562 only	76	0	10691	11485	False
MRPS28	K562 only	141	0	10691	11485	False
MRPS33	RPE1 only	0	89	10691	11485	False
MRPS34	shared	128	69	10691	11485	True
MRPS35	K562 only	182	0	10691	11485	False
MRPS7	K562 only	101	0	10691	11485	False
MRPS9	K562 only	69	0	10691	11485	False
MRTO4	RPE1 only	0	14	10691	11485	False
MTBP	shared	183	86	10691	11485	True
MTOR	shared	93	98	10691	11485	True
MTPAP	shared	86	82	10691	11485	True
MVD	shared	101	71	10691	11485	True
MVK	RPE1 only	0	422	10691	11485	False
MYBBP1A	shared	106	31	10691	11485	True
MYBL2	shared	81	877	10691	11485	True
MYC	RPE1 only	0	63	10691	11485	False
MYSM1	RPE1 only	0	106	10691	11485	False
MZT1	K562 only	381	0	10691	11485	False
N6AMT1	K562 only	134	0	10691	11485	False
NAA10	shared	113	58	10691	11485	True
NAA15	shared	107	54	10691	11485	True
NAA20	shared	158	89	10691	11485	True
NAA25	shared	162	139	10691	11485	True
NAA30	RPE1 only	0	134	10691	11485	False
NAA35	RPE1 only	0	308	10691	11485	False
NAA50	RPE1 only	0	53	10691	11485	False
NACA	shared	309	23	10691	11485	False
NAE1	shared	87	51	10691	11485	True
NAF1	RPE1 only	0	60	10691	11485	False
NAPG	RPE1 only	0	224	10691	11485	False
NARS	shared	149	65	10691	11485	True
NASP	RPE1 only	0	94	10691	11485	False
NAT10	K562 only	28	0	10691	11485	False
NBAS	shared	94	67	10691	11485	True
NBPF12	RPE1 only	0	1159	10691	11485	False
NCAPD2	RPE1 only	0	106	10691	11485	False
NCAPG	RPE1 only	0	28	10691	11485	False
NCAPG2	RPE1 only	0	39	10691	11485	False
NCAPH	shared	64	36	10691	11485	True
NCAPH2	RPE1 only	0	60	10691	11485	False
NCBP1	shared	53	28	10691	11485	False
NCBP2	shared	765	34	10691	11485	True
NCKAP1	shared	64	81	10691	11485	True
NCL	shared	148	29	10691	11485	False
NDC1	RPE1 only	0	109	10691	11485	False
NDC80	shared	171	94	10691	11485	True
NDOR1	RPE1 only	0	64	10691	11485	False
NDUFA2	shared	111	29	10691	11485	False
NDUFA3	RPE1 only	0	169	10691	11485	False
NDUFA6	K562 only	151	0	10691	11485	False
NDUFA8	K562 only	100	0	10691	11485	False
NDUFAB1	shared	143	67	10691	11485	True
NDUFB10	shared	148	94	10691	11485	True
NDUFB4	K562 only	147	0	10691	11485	False
NDUFB8	K562 only	174	0	10691	11485	False
NDUFV2	RPE1 only	0	79	10691	11485	False
NEDD1	shared	134	140	10691	11485	True
NEDD8	shared	191	54	10691	11485	True
NELFA	shared	82	60	10691	11485	True
NELFB	shared	125	148	10691	11485	True
NELFCD	shared	174	111	10691	11485	True
NELFE	shared	66	97	10691	11485	True
NEPRO	K562 only	42	0	10691	11485	False
NFKBIE	RPE1 only	0	62	10691	11485	False
NFRKB	shared	223	148	10691	11485	True
NFS1	shared	75	56	10691	11485	True
NFYB	RPE1 only	0	78	10691	11485	False
NFYC	RPE1 only	0	111	10691	11485	False
NHP2	RPE1 only	0	44	10691	11485	False
NIFK	shared	203	56	10691	11485	True
NIP7	K562 only	216	0	10691	11485	False
NKAP	shared	106	76	10691	11485	True
NKAPD1	RPE1 only	0	117	10691	11485	False
NLE1	shared	396	36	10691	11485	True
NMD3	shared	57	41	10691	11485	True
NMT1	RPE1 only	0	70	10691	11485	False
NOB1	shared	45	27	10691	11485	False
NOC3L	shared	73	40	10691	11485	True
NOC4L	K562 only	32	0	10691	11485	False
NOL11	shared	219	29	10691	11485	False
NOL12	shared	83	28	10691	11485	False
NOL6	K562 only	107	0	10691	11485	False
NOL7	RPE1 only	0	44	10691	11485	False
NOL8	shared	70	37	10691	11485	True
NOLC1	shared	106	34	10691	11485	True
NOM1	shared	65	57	10691	11485	True
NOMO1	RPE1 only	0	69	10691	11485	False
NOMO3	RPE1 only	0	115	10691	11485	False
NOP10	K562 only	124	0	10691	11485	False
NOP14	shared	38	34	10691	11485	True
NOP16	K562 only	133	0	10691	11485	False
NOP2	K562 only	56	0	10691	11485	False
NOP58	K562 only	39	0	10691	11485	False
NOP9	RPE1 only	0	39	10691	11485	False
NPLOC4	shared	52	182	10691	11485	True
NPM1	RPE1 only	0	40	10691	11485	False
NRBP1	shared	62	149	10691	11485	True
NRDE2	shared	495	46	10691	11485	True
NRF1	shared	71	54	10691	11485	True
NSA2	shared	71	28	10691	11485	False
NSF	RPE1 only	0	62	10691	11485	False
NSL1	RPE1 only	0	51	10691	11485	False
NSMCE2	RPE1 only	0	73	10691	11485	False
NSRP1	shared	188	40	10691	11485	True
NUB1	RPE1 only	0	144	10691	11485	False
NUBP1	shared	144	37	10691	11485	True
NUBP2	RPE1 only	0	88	10691	11485	False
NUDC	shared	108	55	10691	11485	True
NUDCD3	shared	108	129	10691	11485	True
NUDT15	RPE1 only	0	69	10691	11485	False
NUDT21	K562 only	57	0	10691	11485	False
NUF2	shared	404	58	10691	11485	True
NUFIP1	K562 only	57	0	10691	11485	False
NUMA1	K562 only	203	0	10691	11485	False
NUP107	shared	237	138	10691	11485	True
NUP133	shared	70	106	10691	11485	True
NUP153	RPE1 only	0	107	10691	11485	False
NUP160	shared	234	62	10691	11485	True
NUP205	RPE1 only	0	52	10691	11485	False
NUP214	RPE1 only	0	72	10691	11485	False
NUP35	RPE1 only	0	64	10691	11485	False
NUP43	RPE1 only	0	71	10691	11485	False
NUP54	shared	266	79	10691	11485	True
NUP62	shared	86	71	10691	11485	True
NUP85	shared	107	74	10691	11485	True
NUP88	shared	35	111	10691	11485	True
NUP98	shared	410	102	10691	11485	True
NUTF2	shared	44	55	10691	11485	True
NVL	shared	105	33	10691	11485	True
OGFOD1	shared	101	52	10691	11485	True
OGT	shared	31	39	10691	11485	True
OLFML3	RPE1 only	0	135	10691	11485	False
OPA1	shared	53	60	10691	11485	True
ORC1	shared	477	56	10691	11485	True
ORC3	RPE1 only	0	57	10691	11485	False
ORC4	RPE1 only	0	159	10691	11485	False
ORC5	shared	89	112	10691	11485	True
ORC6	RPE1 only	0	33	10691	11485	False
OSBP	RPE1 only	0	27	10691	11485	False
OSGEP	RPE1 only	0	69	10691	11485	False
OSTC	RPE1 only	0	28	10691	11485	False
OTX1	RPE1 only	0	127	10691	11485	False
OXA1L	K562 only	305	0	10691	11485	False
PABPC1	RPE1 only	0	75	10691	11485	False
PABPC4	RPE1 only	0	75	10691	11485	False
PABPN1	shared	121	36	10691	11485	True
PAF1	shared	229	67	10691	11485	True
PAFAH1B1	RPE1 only	0	26	10691	11485	False
PALB2	RPE1 only	0	36	10691	11485	False
PAM16	shared	43	72	10691	11485	True
PARN	RPE1 only	0	153	10691	11485	False
PARS2	RPE1 only	0	292	10691	11485	False
PAXBP1	shared	114	138	10691	11485	True
PCBP1	shared	98	170	10691	11485	True
PCBP2	RPE1 only	0	202	10691	11485	False
PCF11	shared	393	35	10691	11485	True
PCID2	shared	208	145	10691	11485	True
PCM1	RPE1 only	0	27	10691	11485	False
PCNA	shared	82	49	10691	11485	True
PCNX3	RPE1 only	0	171	10691	11485	False
PDAP1	shared	46	36	10691	11485	True
PDCD11	shared	95	47	10691	11485	True
PDCD2	shared	59	29	10691	11485	False
PDCD5	RPE1 only	0	135	10691	11485	False
PDCD7	shared	80	32	10691	11485	True
PDHA1	RPE1 only	0	27	10691	11485	False
PDPK1	RPE1 only	0	43	10691	11485	False
PDRG1	shared	111	27	10691	11485	False
PELO	K562 only	240	0	10691	11485	False
PELP1	shared	60	70	10691	11485	True
PES1	shared	54	32	10691	11485	True
PET117	shared	80	154	10691	11485	True
PEX19	RPE1 only	0	68	10691	11485	False
PFDN2	shared	81	40	10691	11485	True
PFN1	shared	232	122	10691	11485	True
PGAM1	shared	145	114	10691	11485	True
PGAM5	RPE1 only	0	173	10691	11485	False
PGD	K562 only	98	0	10691	11485	False
PGK1	RPE1 only	0	110	10691	11485	False
PGPEP1	K562 only	51	0	10691	11485	False
PGS1	RPE1 only	0	95	10691	11485	False
PHAX	shared	304	108	10691	11485	True
PHB	shared	219	83	10691	11485	True
PHB2	shared	327	64	10691	11485	True
PHF10	RPE1 only	0	124	10691	11485	False
PHF12	RPE1 only	0	51	10691	11485	False
PHF5A	shared	197	45	10691	11485	True
PI4KA	RPE1 only	0	68	10691	11485	False
PIAS1	RPE1 only	0	62	10691	11485	False
PIAS4	shared	173	83	10691	11485	True
PIGH	RPE1 only	0	40	10691	11485	False
PIK3C3	RPE1 only	0	67	10691	11485	False
PIK3R4	RPE1 only	0	68	10691	11485	False
PITRM1	RPE1 only	0	130	10691	11485	False
PKM	shared	64	159	10691	11485	True
PLK1	RPE1 only	0	31	10691	11485	False
PLK4	RPE1 only	0	174	10691	11485	False
PLRG1	shared	80	57	10691	11485	True
PMF1	shared	255	320	10691	11485	True
PMPCA	shared	114	64	10691	11485	True
PMPCB	shared	471	145	10691	11485	True
PNISR	shared	118	64	10691	11485	True
PNKP	RPE1 only	0	54	10691	11485	False
PNN	shared	65	76	10691	11485	True
PNO1	K562 only	114	0	10691	11485	False
PNPT1	shared	112	140	10691	11485	True
POGLUT3	RPE1 only	0	768	10691	11485	False
POLA1	shared	195	53	10691	11485	True
POLA2	shared	212	43	10691	11485	True
POLD1	shared	197	92	10691	11485	True
POLD2	shared	63	97	10691	11485	True
POLD3	shared	65	45	10691	11485	True
POLE	shared	154	38	10691	11485	True
POLL	RPE1 only	0	46	10691	11485	False
POLR1A	K562 only	115	0	10691	11485	False
POLR1B	K562 only	174	0	10691	11485	False
POLR1C	shared	161	177	10691	11485	True
POLR1E	shared	202	69	10691	11485	True
POLR2A	K562 only	264	0	10691	11485	False
POLR2B	shared	234	30	10691	11485	True
POLR2C	K562 only	145	0	10691	11485	False
POLR2D	K562 only	182	0	10691	11485	False
POLR2E	shared	129	53	10691	11485	True
POLR2F	shared	243	53	10691	11485	True
POLR2G	K562 only	131	0	10691	11485	False
POLR2H	K562 only	80	0	10691	11485	False
POLR2I	shared	179	143	10691	11485	True
POLR2L	K562 only	43	0	10691	11485	False
POLR2M	RPE1 only	0	172	10691	11485	False
POLR3B	shared	109	30	10691	11485	True
POLR3C	shared	169	44	10691	11485	True
POLR3D	shared	108	30	10691	11485	True
POLR3E	shared	192	40	10691	11485	True
POLR3F	shared	156	37	10691	11485	True
POLR3H	RPE1 only	0	50	10691	11485	False
POLRMT	shared	208	212	10691	11485	True
POP1	shared	82	31	10691	11485	True
POP4	shared	116	40	10691	11485	True
POP5	shared	50	37	10691	11485	True
POP7	shared	196	56	10691	11485	True
POU3F1	RPE1 only	0	133	10691	11485	False
PPA1	RPE1 only	0	128	10691	11485	False
PPAN	K562 only	87	0	10691	11485	False
PPARGC1B	shared	129	77	10691	11485	True
PPIE	shared	39	25	10691	11485	False
PPIH	shared	93	36	10691	11485	True
PPIL2	RPE1 only	0	37	10691	11485	False
PPIL4	shared	69	86	10691	11485	True
PPP1CA	shared	85	74	10691	11485	True
PPP1R10	RPE1 only	0	23	10691	11485	False
PPP1R11	shared	69	47	10691	11485	True
PPP1R12A	RPE1 only	0	48	10691	11485	False
PPP1R15B	RPE1 only	0	60	10691	11485	False
PPP1R2	RPE1 only	0	80	10691	11485	False
PPP1R37	RPE1 only	0	347	10691	11485	False
PPP1R7	RPE1 only	0	39	10691	11485	False
PPP1R8	shared	64	142	10691	11485	True
PPP2CA	RPE1 only	0	94	10691	11485	False
PPP2CB	RPE1 only	0	92	10691	11485	False
PPP2R1A	shared	301	215	10691	11485	True
PPP2R3C	RPE1 only	0	128	10691	11485	False
PPP4C	shared	128	41	10691	11485	True
PPP4R2	shared	162	68	10691	11485	True
PPP6C	RPE1 only	0	1539	10691	11485	False
PPRC1	shared	112	54	10691	11485	True
PPWD1	RPE1 only	0	47	10691	11485	False
PRC1	RPE1 only	0	48	10691	11485	False
PRDM10	RPE1 only	0	54	10691	11485	False
PRDM4	RPE1 only	0	107	10691	11485	False
PRDM8	RPE1 only	0	28	10691	11485	False
PRELID1	shared	120	42	10691	11485	True
PRELID3B	shared	235	127	10691	11485	True
PRIM1	shared	151	40	10691	11485	True
PRIM2	shared	149	31	10691	11485	True
PRKCA	RPE1 only	0	107	10691	11485	False
PRKRA	RPE1 only	0	50	10691	11485	False
PRMT1	shared	40	39	10691	11485	True
PRMT5	shared	92	126	10691	11485	True
PRORP	RPE1 only	0	151	10691	11485	False
PRPF18	shared	256	59	10691	11485	True
PRPF19	shared	98	92	10691	11485	True
PRPF3	shared	129	111	10691	11485	True
PRPF31	shared	23	144	10691	11485	False
PRPF38A	RPE1 only	0	36	10691	11485	False
PRPF39	RPE1 only	0	183	10691	11485	False
PRPF4	shared	101	82	10691	11485	True
PRPF40A	shared	106	43	10691	11485	True
PRPF4B	shared	160	26	10691	11485	False
PRPF6	shared	172	52	10691	11485	True
PRPF8	shared	91	83	10691	11485	True
PRRC2A	shared	82	147	10691	11485	True
PRXL2A	RPE1 only	0	56	10691	11485	False
PSMA1	K562 only	91	0	10691	11485	False
PSMA2	shared	37	21	10691	11485	False
PSMA3	shared	241	40	10691	11485	True
PSMA4	shared	266	79	10691	11485	True
PSMA6	shared	18	25	10691	11485	False
PSMA7	K562 only	22	0	10691	11485	False
PSMB1	shared	107	25	10691	11485	False
PSMB2	shared	46	60	10691	11485	True
PSMB3	shared	26	40	10691	11485	False
PSMB4	RPE1 only	0	25	10691	11485	False
PSMB5	shared	188	137	10691	11485	True
PSMB6	shared	111	54	10691	11485	True
PSMB7	shared	219	19	10691	11485	False
PSMC1	shared	177	68	10691	11485	True
PSMC2	shared	279	34	10691	11485	True
PSMC3	shared	32	13	10691	11485	False
PSMC4	shared	149	26	10691	11485	False
PSMC5	RPE1 only	0	92	10691	11485	False
PSMC6	K562 only	65	0	10691	11485	False
PSMD1	shared	87	21	10691	11485	False
PSMD11	shared	55	16	10691	11485	False
PSMD12	shared	156	15	10691	11485	False
PSMD13	shared	96	30	10691	11485	True
PSMD14	RPE1 only	0	55	10691	11485	False
PSMD2	K562 only	51	0	10691	11485	False
PSMD3	K562 only	30	0	10691	11485	False
PSMD4	shared	285	22	10691	11485	False
PSMD6	shared	282	26	10691	11485	False
PSMD7	shared	233	18	10691	11485	False
PSMD8	RPE1 only	0	29	10691	11485	False
PSME1	RPE1 only	0	97	10691	11485	False
PSMG2	RPE1 only	0	46	10691	11485	False
PSMG3	shared	324	221	10691	11485	True
PSMG4	K562 only	44	0	10691	11485	False
PSTK	RPE1 only	0	262	10691	11485	False
PTBP1	shared	106	38	10691	11485	True
PTCD1	shared	246	71	10691	11485	True
PTEN	RPE1 only	0	187	10691	11485	False
PTGR2	RPE1 only	0	98	10691	11485	False
PTK2	RPE1 only	0	75	10691	11485	False
PTMA	RPE1 only	0	180	10691	11485	False
PTPMT1	RPE1 only	0	100	10691	11485	False
PTPN1	RPE1 only	0	93	10691	11485	False
PTPN23	RPE1 only	0	33	10691	11485	False
PUF60	shared	52	41	10691	11485	True
PUM1	RPE1 only	0	76	10691	11485	False
PWP2	K562 only	51	0	10691	11485	False
PXN	RPE1 only	0	128	10691	11485	False
PYROXD1	RPE1 only	0	130	10691	11485	False
QARS	shared	376	78	10691	11485	True
RAB18	RPE1 only	0	45	10691	11485	False
RAB4A	RPE1 only	0	176	10691	11485	False
RAB4B	RPE1 only	0	229	10691	11485	False
RAB6A	RPE1 only	0	83	10691	11485	False
RABGGTA	shared	114	189	10691	11485	True
RABGGTB	RPE1 only	0	105	10691	11485	False
RAC1	RPE1 only	0	37	10691	11485	False
RAC3	RPE1 only	0	127	10691	11485	False
RACGAP1	K562 only	162	0	10691	11485	False
RAD17	RPE1 only	0	57	10691	11485	False
RAD21	shared	62	31	10691	11485	True
RAD51	K562 only	227	0	10691	11485	False
RAD51C	shared	59	25	10691	11485	False
RAD9A	RPE1 only	0	149	10691	11485	False
RAE1	K562 only	51	0	10691	11485	False
RAMAC	RPE1 only	0	60	10691	11485	False
RAN	shared	77	48	10691	11485	True
RANBP2	RPE1 only	0	35	10691	11485	False
RANGAP1	shared	120	75	10691	11485	True
RARS	shared	334	44	10691	11485	True
RARS2	shared	139	132	10691	11485	True
RBBP4	shared	69	48	10691	11485	True
RBBP5	RPE1 only	0	78	10691	11485	False
RBBP6	shared	70	21	10691	11485	False
RBBP8	shared	114	28	10691	11485	False
RBM10	RPE1 only	0	128	10691	11485	False
RBM12	RPE1 only	0	88	10691	11485	False
RBM14	K562 only	199	0	10691	11485	False
RBM15	RPE1 only	0	213	10691	11485	False
RBM17	shared	50	40	10691	11485	True
RBM19	K562 only	37	0	10691	11485	False
RBM25	shared	53	32	10691	11485	True
RBM28	K562 only	55	0	10691	11485	False
RBM33	RPE1 only	0	95	10691	11485	False
RBM39	shared	54	41	10691	11485	True
RBM4	shared	128	43	10691	11485	True
RBM42	shared	68	46	10691	11485	True
RBM48	shared	55	33	10691	11485	True
RBM8A	K562 only	23	0	10691	11485	False
RBMX	shared	118	23	10691	11485	False
RBMX2	shared	225	100	10691	11485	True
RBX1	shared	40	67	10691	11485	True
RCC1	shared	162	169	10691	11485	True
RCCD1	RPE1 only	0	98	10691	11485	False
RCL1	shared	104	38	10691	11485	True
RELL2	RPE1 only	0	49	10691	11485	False
REXO2	K562 only	65	0	10691	11485	False
RFC1	shared	108	36	10691	11485	True
RFC2	shared	85	77	10691	11485	True
RFC3	shared	211	57	10691	11485	True
RFC4	shared	58	35	10691	11485	True
RFC5	shared	101	42	10691	11485	True
RFT1	RPE1 only	0	93	10691	11485	False
RGPD6	RPE1 only	0	381	10691	11485	False
RINT1	shared	143	72	10691	11485	True
RIOK1	shared	290	44	10691	11485	True
RIOK2	K562 only	161	0	10691	11485	False
RMI1	K562 only	195	0	10691	11485	False
RNASEH2C	shared	89	129	10691	11485	True
RNF103	RPE1 only	0	72	10691	11485	False
RNF113A	shared	170	59	10691	11485	True
RNF20	shared	118	147	10691	11485	True
RNF40	shared	185	66	10691	11485	True
RNF8	RPE1 only	0	209	10691	11485	False
RNGTT	shared	110	44	10691	11485	True
RNMT	shared	106	69	10691	11485	True
RNPC3	shared	74	63	10691	11485	True
RNPS1	shared	80	27	10691	11485	False
ROMO1	K562 only	80	0	10691	11485	False
RPA1	shared	337	64	10691	11485	True
RPA2	shared	177	72	10691	11485	True
RPA3	shared	158	99	10691	11485	True
RPAIN	RPE1 only	0	26	10691	11485	False
RPAP1	shared	88	37	10691	11485	True
RPAP2	K562 only	373	0	10691	11485	False
RPAP3	RPE1 only	0	37	10691	11485	False
RPE	RPE1 only	0	56	10691	11485	False
RPF1	K562 only	108	0	10691	11485	False
RPF2	K562 only	59	0	10691	11485	False
RPIA	RPE1 only	0	35	10691	11485	False
RPL10	shared	187	66	10691	11485	True
RPL10A	shared	186	84	10691	11485	True
RPL11	shared	286	56	10691	11485	True
RPL12	shared	179	70	10691	11485	True
