target	in_k562_rl1	in_rpe1_rl1	in_k2r_rl4	in_r2k_rl4	matched_k2r_source	matched_r2k_source	matched_k2r_target_context	matched_r2k_target_context
RNPC3	False	False	True	True	False	False	False	False
RPA1	True	True	True	True	True	True	True	True
RPA2	False	False	True	True	False	False	False	False
RPA3	True	False	True	True	True	False	False	True
RPAP1	True	False	True	True	True	False	False	True
RPE	False	True	False	False	False	False	False	False
RPL10	False	False	True	True	False	False	False	False
RPL10A	False	False	True	True	False	False	False	False
RPL11	False	False	True	True	False	False	False	False
RPL12	True	True	True	True	True	True	True	True
RPL13	False	False	True	True	False	False	False	False
RPL13A	False	False	True	True	False	False	False	False
RPL14	False	False	True	True	False	False	False	False
RPL15	False	False	True	True	False	False	False	False
RPL17	False	True	True	True	False	True	True	False
RPL18	False	False	True	True	False	False	False	False
RPL18A	True	False	True	True	True	False	False	True
RPL21	False	True	False	False	False	False	False	False
RPL23	False	False	True	True	False	False	False	False
RPL23A	True	False	True	True	True	False	False	True
RPL24	False	False	True	True	False	False	False	False
RPL26	False	True	True	True	False	True	True	False
RPL27	True	False	False	False	False	False	False	False
RPL27A	False	False	True	True	False	False	False	False
RPL30	True	False	True	True	True	False	False	True
RPL31	False	False	True	True	False	False	False	False
RPL32	False	False	True	True	False	False	False	False
RPL34	True	False	False	False	False	False	False	False
RPL35	True	True	True	True	True	True	True	True
RPL35A	False	True	True	True	False	True	True	False
RPL36	False	False	True	True	False	False	False	False
RPL36A	False	False	True	True	False	False	False	False
RPL37	False	False	True	True	False	False	False	False
RPL37A	False	False	True	True	False	False	False	False
RPL39	False	False	True	True	False	False	False	False
RPL4	False	False	True	True	False	False	False	False
RPL5	True	True	True	True	True	True	True	True
RPL6	False	False	True	True	False	False	False	False
RPL7	False	False	True	True	False	False	False	False
RPL8	False	False	True	True	False	False	False	False
RPL9	False	True	True	True	False	True	True	False
RPLP0	False	True	True	True	False	True	True	False
RPLP2	False	True	True	True	False	True	True	False
RPP14	False	False	True	True	False	False	False	False
RPP30	False	False	True	True	False	False	False	False
RPS11	True	False	False	False	False	False	False	False
RPS13	False	False	True	True	False	False	False	False
RPS14	False	False	True	True	False	False	False	False
RPS17	True	False	False	False	False	False	False	False
RPS19	False	False	True	True	False	False	False	False
RPS2	False	False	True	True	False	False	False	False
RPS23	True	False	False	False	False	False	False	False
RPS24	True	False	True	True	True	False	False	True
RPS26	False	False	True	True	False	False	False	False
RPS27	False	False	True	True	False	False	False	False
RPS27A	True	True	True	True	True	True	True	True
RPS29	True	False	True	True	True	False	False	True
RPS3	False	True	True	True	False	True	True	False
RPS3A	False	False	True	True	False	False	False	False
RPS4X	True	False	False	False	False	False	False	False
RPS6	False	False	True	True	False	False	False	False
RPS7	False	False	True	True	False	False	False	False
RPS9	True	False	False	False	False	False	False	False
RPTOR	False	False	True	True	False	False	False	False
RPUSD3	False	True	False	False	False	False	False	False
RPUSD4	False	False	True	True	False	False	False	False
RRM1	False	False	True	True	False	False	False	False
RRN3	False	False	True	True	False	False	False	False
RRP1	True	False	False	False	False	False	False	False
RRP7A	True	False	False	False	False	False	False	False
RRP9	False	True	False	False	False	False	False	False
RRS1	False	False	True	True	False	False	False	False
RSL1D1	False	False	True	True	False	False	False	False
RTCB	False	False	True	True	False	False	False	False
RTF1	False	False	True	True	False	False	False	False
RUVBL1	False	False	True	True	False	False	False	False
S100A1	False	True	False	False	False	False	False	False
SAE1	False	False	True	True	False	False	False	False
SAMM50	False	True	True	True	False	True	True	False
SARS2	True	False	True	True	True	False	False	True
SART1	True	False	True	True	True	False	False	True
SART3	False	False	True	True	False	False	False	False
SBDS	False	True	False	False	False	False	False	False
SBNO1	False	False	True	True	False	False	False	False
SCAF1	False	False	True	True	False	False	False	False
SCFD1	True	False	True	True	True	False	False	True
SDAD1	False	False	True	True	False	False	False	False
SDC1	False	False	True	True	False	False	False	False
SDE2	False	False	True	True	False	False	False	False
SDHC	True	False	True	True	True	False	False	True
SEH1L	True	False	True	True	True	False	False	True
SENP6	False	True	False	False	False	False	False	False
SEPSECS	False	True	False	False	False	False	False	False
SERBP1	True	False	True	True	True	False	False	True
SETD1A	False	False	True	True	False	False	False	False
SETD5	False	True	False	False	False	False	False	False
SETDB1	False	False	True	True	False	False	False	False
SF3A1	True	False	False	False	False	False	False	False
SF3A2	True	True	True	True	True	True	True	True
SF3B2	False	False	True	True	False	False	False	False
SF3B3	False	True	True	True	False	True	True	False
SF3B4	False	False	True	True	False	False	False	False
SF3B5	False	False	True	True	False	False	False	False
SFPQ	True	True	True	True	True	True	True	True
SFSWAP	False	True	False	False	False	False	False	False
SHOC2	False	True	False	False	False	False	False	False
SIN3A	False	False	True	True	False	False	False	False
SKA3	False	True	True	True	False	True	True	False
SKP1	True	False	False	False	False	False	False	False
SLBP	True	True	True	True	True	True	True	True
SLC39A9	False	False	True	True	False	False	False	False
SLC7A6OS	False	False	True	True	False	False	False	False
SLU7	False	False	True	True	False	False	False	False
SMAGP	False	True	False	False	False	False	False	False
SMARCB1	True	False	True	True	True	False	False	True
SMC1A	False	True	True	True	False	True	True	False
SMC2	False	False	True	True	False	False	False	False
SMC4	False	True	True	True	False	True	True	False
SMG5	False	False	True	True	False	False	False	False
SMN2	True	False	True	True	True	False	False	True
SMU1	False	True	True	True	False	True	True	False
SNAPC1	False	True	True	True	False	True	True	False
SNAPC3	False	True	True	True	False	True	True	False
SNAPC5	False	False	True	True	False	False	False	False
SNIP1	False	False	True	True	False	False	False	False
SNRNP200	False	False	True	True	False	False	False	False
SNRNP25	False	False	True	True	False	False	False	False
SNRNP27	False	False	True	True	False	False	False	False
SNRNP35	False	False	True	True	False	False	False	False
SNRNP48	False	True	True	True	False	True	True	False
SNRNP70	False	False	True	True	False	False	False	False
SNRPA1	True	False	False	False	False	False	False	False
SNRPB	True	False	True	True	True	False	False	True
SNRPD1	True	False	True	True	True	False	False	True
SNRPD3	False	False	True	True	False	False	False	False
SNRPE	False	True	True	True	False	True	True	False
SNRPF	False	False	True	True	False	False	False	False
SNRPG	True	False	True	True	True	False	False	True
SNW1	False	False	True	True	False	False	False	False
SON	False	False	True	True	False	False	False	False
SPATA5L1	False	True	False	False	False	False	False	False
SPC24	False	False	True	True	False	False	False	False
SPC25	True	False	True	True	True	False	False	True
SPCS3	False	False	True	True	False	False	False	False
SRBD1	False	False	True	True	False	False	False	False
SRF	False	True	False	False	False	False	False	False
SRFBP1	True	False	False	False	False	False	False	False
SRP14	False	True	False	False	False	False	False	False
SRP54	False	True	False	False	False	False	False	False
SRP68	False	False	True	True	False	False	False	False
SRP72	False	False	True	True	False	False	False	False
SRPRB	False	False	True	True	False	False	False	False
SRRM1	False	True	True	True	False	True	True	False
SRRM2	False	False	True	True	False	False	False	False
SRRT	True	True	True	True	True	True	True	True
SRSF1	False	True	False	False	False	False	False	False
SRSF10	False	False	True	True	False	False	False	False
SRSF11	False	False	True	True	False	False	False	False
SRSF2	False	False	True	True	False	False	False	False
SRSF7	False	False	True	True	False	False	False	False
SSRP1	True	False	False	False	False	False	False	False
SSU72	True	False	True	True	True	False	False	True
STARD7	True	False	False	False	False	False	False	False
STIL	False	True	False	False	False	False	False	False
STRAP	False	False	True	True	False	False	False	False
SUPT16H	True	False	False	False	False	False	False	False
SUPV3L1	True	False	False	False	False	False	False	False
SURF6	False	False	True	True	False	False	False	False
SYF2	False	True	True	True	False	True	True	False
SYMPK	False	True	True	True	False	True	True	False
SYNGR3	False	True	False	False	False	False	False	False
TADA1	False	True	False	False	False	False	False	False
TADA2B	False	True	False	False	False	False	False	False
TADA3	False	False	True	True	False	False	False	False
TAF10	False	True	False	False	False	False	False	False
TAF13	False	True	False	False	False	False	False	False
TAF1D	False	False	True	True	False	False	False	False
TAF2	False	False	True	True	False	False	False	False
TAF6	False	False	True	True	False	False	False	False
TAF6L	False	True	False	False	False	False	False	False
TAF7	False	False	True	True	False	False	False	False
TAF8	False	False	True	True	False	False	False	False
TANGO6	False	False	True	True	False	False	False	False
TARS	False	False	True	True	False	False	False	False
TBCB	False	False	True	True	False	False	False	False
TBP	False	False	True	True	False	False	False	False
TCERG1	True	False	True	True	True	False	False	True
TCOF1	False	False	True	True	False	False	False	False
TCP1	True	False	False	False	False	False	False	False
TEFM	True	False	True	True	True	False	False	True
TELO2	False	False	True	True	False	False	False	False
TERF2	True	False	True	True	True	False	False	True
TEX10	False	False	True	True	False	False	False	False
TFDP1	True	False	True	True	True	False	False	True
TFIP11	True	False	False	False	False	False	False	False
TFRC	False	True	False	False	False	False	False	False
THAP1	True	False	True	True	True	False	False	True
THAP11	True	False	True	True	True	False	False	True
THG1L	False	True	True	True	False	True	True	False
THOC1	False	True	False	False	False	False	False	False
THOC3	False	False	True	True	False	False	False	False
THOC7	False	False	True	True	False	False	False	False
THRAP3	False	True	False	False	False	False	False	False
TICRR	False	True	False	False	False	False	False	False
TIMM10	False	True	False	False	False	False	False	False
TIMM13	False	False	True	True	False	False	False	False
TIMM23B	True	False	True	True	True	False	False	True
TIMM44	False	False	True	True	False	False	False	False
TIMM9	False	True	True	True	False	True	True	False
TIPIN	False	True	False	False	False	False	False	False
TMA16	True	False	False	False	False	False	False	False
TMSB10	False	False	True	True	False	False	False	False
TMX2	False	False	True	True	False	False	False	False
TNPO3	True	False	True	True	True	False	False	True
TOMM22	False	True	True	True	False	True	True	False
TOMM40	False	False	True	True	False	False	False	False
TOP1	True	False	True	True	True	False	False	True
TOP3A	False	True	False	False	False	False	False	False
TPR	False	False	True	True	False	False	False	False
TPX2	False	True	False	False	False	False	False	False
TRA2B	True	False	True	True	True	False	False	True
TRAPPC11	False	True	False	False	False	False	False	False
TREX2	True	True	True	True	True	True	True	True
TRIAP1	False	True	False	False	False	False	False	False
TRMT112	True	False	True	True	True	False	False	True
TRMT5	False	False	True	True	False	False	False	False
TRRAP	True	False	False	False	False	False	False	False
TSEN2	False	False	True	True	False	False	False	False
TSG101	False	False	True	True	False	False	False	False
TSR1	False	True	True	True	False	True	True	False
TSR2	False	False	True	True	False	False	False	False
TTC27	False	False	True	True	False	False	False	False
TTI1	False	False	True	True	False	False	False	False
TTK	False	False	True	True	False	False	False	False
TUBB	False	True	False	False	False	False	False	False
TUBGCP2	False	False	True	True	False	False	False	False
TUBGCP3	False	True	False	False	False	False	False	False
TUBGCP5	False	True	False	False	False	False	False	False
TUBGCP6	False	True	False	False	False	False	False	False
TUT1	True	True	True	True	True	True	True	True
TXNL4A	False	True	False	False	False	False	False	False
U2AF1	False	False	True	True	False	False	False	False
U2AF2	False	False	True	True	False	False	False	False
U2SURP	False	False	True	True	False	False	False	False
UBA1	True	True	True	True	True	True	True	True
UBA2	False	False	True	True	False	False	False	False
UBA3	False	False	True	True	False	False	False	False
UBA52	False	False	True	True	False	False	False	False
UBAP1	False	False	True	True	False	False	False	False
UBE2I	True	False	True	True	True	False	False	True
UBE2N	False	True	False	False	False	False	False	False
UBL5	False	False	True	True	False	False	False	False
UBQLN4	False	False	True	True	False	False	False	False
UBR5	False	True	False	False	False	False	False	False
UFL1	False	False	True	True	False	False	False	False
UFM1	False	False	True	True	False	False	False	False
UPF1	False	False	True	True	False	False	False	False
UPF2	False	True	True	True	False	True	True	False
UQCRB	True	False	True	True	True	False	False	True
UQCRFS1	False	True	False	False	False	False	False	False
UQCRQ	False	False	True	True	False	False	False	False
URB1	False	True	False	False	False	False	False	False
URB2	False	False	True	True	False	False	False	False
URI1	False	False	True	True	False	False	False	False
USP39	False	False	True	True	False	False	False	False
USP5	False	True	True	True	False	True	True	False
USPL1	False	False	True	True	False	False	False	False
UTP15	True	False	True	True	True	False	False	True
UTP18	False	True	True	True	False	True	True	False
UTP20	False	False	True	True	False	False	False	False
UTP23	False	False	True	True	False	False	False	False
UTP6	True	False	False	False	False	False	False	False
UXT	False	True	True	True	False	True	True	False
VARS	False	False	True	True	False	False	False	False
VPS28	False	False	True	True	False	False	False	False
VPS29	True	False	True	True	True	False	False	True
VPS33A	False	True	False	False	False	False	False	False
VPS35	False	True	True	True	False	True	True	False
VPS54	False	True	True	True	False	True	True	False
VPS72	False	True	True	True	False	True	True	False
WAC	False	True	True	True	False	True	True	False
WBP11	False	True	True	True	False	True	True	False
WDHD1	False	False	True	True	False	False	False	False
WDR1	False	True	False	False	False	False	False	False
WDR12	True	True	True	True	True	True	True	True
WDR24	False	False	True	True	False	False	False	False
WDR33	False	False	True	True	False	False	False	False
WDR43	False	False	True	True	False	False	False	False
WDR44	False	True	False	False	False	False	False	False
WDR5	False	False	True	True	False	False	False	False
WDR61	False	False	True	True	False	False	False	False
WDTC1	False	False	True	True	False	False	False	False
XPO1	True	False	True	True	True	False	False	True
XPO5	False	True	False	False	False	False	False	False
XRCC5	False	False	True	True	False	False	False	False
XRN2	True	False	False	False	False	False	False	False
YAE1	False	True	False	False	False	False	False	False
YBX1	False	True	False	False	False	False	False	False
YBX3	False	True	False	False	False	False	False	False
YEATS2	False	False	True	True	False	False	False	False
YEATS4	False	False	True	True	False	False	False	False
YTHDC1	False	True	True	True	False	True	True	False
ZBTB17	False	False	True	True	False	False	False	False
ZC3H13	False	True	False	False	False	False	False	False
ZC3H3	False	True	False	False	False	False	False	False
ZCRB1	False	False	True	True	False	False	False	False
ZFC3H1	False	True	True	True	False	True	True	False
ZMAT2	False	False	True	True	False	False	False	False
ZMAT5	False	False	True	True	False	False	False	False
ZNF207	True	False	True	True	True	False	False	True
ZNF236	False	False	True	True	False	False	False	False
ZNF335	False	False	True	True	False	False	False	False
ZNF574	False	False	True	True	False	False	False	False
ZNF720	False	True	False	False	False	False	False	False
ZNF84	False	True	False	False	False	False	False	False
ZNHIT6	True	False	False	False	False	False	False	False
ZWINT	False	True	False	False	False	False	False	False
