original_label	normalized_label	target_1	target_2	is_control
GPN1+ctrl	GPN1	GPN1	NA	False
GPN2+ctrl	GPN2	GPN2	NA	False
GPN3+ctrl	GPN3	GPN3	NA	False
GPS1+ctrl	GPS1	GPS1	NA	False
GPS2+ctrl	GPS2	GPS2	NA	False
GRB2+ctrl	GRB2	GRB2	NA	False
GRPEL1+ctrl	GRPEL1	GRPEL1	NA	False
GRSF1+ctrl	GRSF1	GRSF1	NA	False
GRWD1+ctrl	GRWD1	GRWD1	NA	False
GSK3B+ctrl	GSK3B	GSK3B	NA	False
GSPT1+ctrl	GSPT1	GSPT1	NA	False
GTF2A1+ctrl	GTF2A1	GTF2A1	NA	False
GTF2A2+ctrl	GTF2A2	GTF2A2	NA	False
GTF2B+ctrl	GTF2B	GTF2B	NA	False
GTF2E1+ctrl	GTF2E1	GTF2E1	NA	False
GTF2E2+ctrl	GTF2E2	GTF2E2	NA	False
GTF2F2+ctrl	GTF2F2	GTF2F2	NA	False
GTF2H1+ctrl	GTF2H1	GTF2H1	NA	False
GTF2H2+ctrl	GTF2H2	GTF2H2	NA	False
GTF2H3+ctrl	GTF2H3	GTF2H3	NA	False
GTF2H4+ctrl	GTF2H4	GTF2H4	NA	False
GTF3A+ctrl	GTF3A	GTF3A	NA	False
GTF3C1+ctrl	GTF3C1	GTF3C1	NA	False
GTF3C2+ctrl	GTF3C2	GTF3C2	NA	False
GTF3C3+ctrl	GTF3C3	GTF3C3	NA	False
GTF3C4+ctrl	GTF3C4	GTF3C4	NA	False
GTF3C5+ctrl	GTF3C5	GTF3C5	NA	False
GTF3C6+ctrl	GTF3C6	GTF3C6	NA	False
GTPBP4+ctrl	GTPBP4	GTPBP4	NA	False
GUCD1+ctrl	GUCD1	GUCD1	NA	False
GYG1+ctrl	GYG1	GYG1	NA	False
H2AFZ+ctrl	H2AFZ	H2AFZ	NA	False
HARS+ctrl	HARS	HARS	NA	False
HARS2+ctrl	HARS2	HARS2	NA	False
HAUS1+ctrl	HAUS1	HAUS1	NA	False
HAUS3+ctrl	HAUS3	HAUS3	NA	False
HAUS4+ctrl	HAUS4	HAUS4	NA	False
HAUS5+ctrl	HAUS5	HAUS5	NA	False
HAUS6+ctrl	HAUS6	HAUS6	NA	False
HAUS7+ctrl	HAUS7	HAUS7	NA	False
HAUS8+ctrl	HAUS8	HAUS8	NA	False
HBS1L+ctrl	HBS1L	HBS1L	NA	False
HDAC3+ctrl	HDAC3	HDAC3	NA	False
HDAC7+ctrl	HDAC7	HDAC7	NA	False
HEATR1+ctrl	HEATR1	HEATR1	NA	False
HERC1+ctrl	HERC1	HERC1	NA	False
HEXIM1+ctrl	HEXIM1	HEXIM1	NA	False
HGS+ctrl	HGS	HGS	NA	False
HINFP+ctrl	HINFP	HINFP	NA	False
HIPK1+ctrl	HIPK1	HIPK1	NA	False
HIRA+ctrl	HIRA	HIRA	NA	False
HJURP+ctrl	HJURP	HJURP	NA	False
HMGA1+ctrl	HMGA1	HMGA1	NA	False
HMGB3+ctrl	HMGB3	HMGB3	NA	False
HMGCS1+ctrl	HMGCS1	HMGCS1	NA	False
HMX3+ctrl	HMX3	HMX3	NA	False
HNRNPA1+ctrl	HNRNPA1	HNRNPA1	NA	False
HNRNPC+ctrl	HNRNPC	HNRNPC	NA	False
HNRNPH1+ctrl	HNRNPH1	HNRNPH1	NA	False
HNRNPK+ctrl	HNRNPK	HNRNPK	NA	False
HNRNPL+ctrl	HNRNPL	HNRNPL	NA	False
HNRNPM+ctrl	HNRNPM	HNRNPM	NA	False
HNRNPR+ctrl	HNRNPR	HNRNPR	NA	False
HNRNPU+ctrl	HNRNPU	HNRNPU	NA	False
HPS5+ctrl	HPS5	HPS5	NA	False
HSCB+ctrl	HSCB	HSCB	NA	False
HSD17B10+ctrl	HSD17B10	HSD17B10	NA	False
HSD17B12+ctrl	HSD17B12	HSD17B12	NA	False
HSF1+ctrl	HSF1	HSF1	NA	False
HSP90B1+ctrl	HSP90B1	HSP90B1	NA	False
HSPA14+ctrl	HSPA14	HSPA14	NA	False
HSPA5+ctrl	HSPA5	HSPA5	NA	False
HSPA8+ctrl	HSPA8	HSPA8	NA	False
HSPA9+ctrl	HSPA9	HSPA9	NA	False
HSPD1+ctrl	HSPD1	HSPD1	NA	False
HSPE1+ctrl	HSPE1	HSPE1	NA	False
HSPH1+ctrl	HSPH1	HSPH1	NA	False
HTATSF1+ctrl	HTATSF1	HTATSF1	NA	False
HUS1+ctrl	HUS1	HUS1	NA	False
HUWE1+ctrl	HUWE1	HUWE1	NA	False
HYOU1+ctrl	HYOU1	HYOU1	NA	False
HYPK+ctrl	HYPK	HYPK	NA	False
IARS+ctrl	IARS	IARS	NA	False
IARS2+ctrl	IARS2	IARS2	NA	False
ICE1+ctrl	ICE1	ICE1	NA	False
IGBP1+ctrl	IGBP1	IGBP1	NA	False
IK+ctrl	IK	IK	NA	False
ILF2+ctrl	ILF2	ILF2	NA	False
ILF3+ctrl	ILF3	ILF3	NA	False
IMP4+ctrl	IMP4	IMP4	NA	False
IMPA2+ctrl	IMPA2	IMPA2	NA	False
IMPDH2+ctrl	IMPDH2	IMPDH2	NA	False
INF2+ctrl	INF2	INF2	NA	False
ING3+ctrl	ING3	ING3	NA	False
INO80+ctrl	INO80	INO80	NA	False
INO80B+ctrl	INO80B	INO80B	NA	False
INO80C+ctrl	INO80C	INO80C	NA	False
INO80D+ctrl	INO80D	INO80D	NA	False
INO80E+ctrl	INO80E	INO80E	NA	False
INPPL1+ctrl	INPPL1	INPPL1	NA	False
INTS1+ctrl	INTS1	INTS1	NA	False
INTS10+ctrl	INTS10	INTS10	NA	False
INTS12+ctrl	INTS12	INTS12	NA	False
INTS13+ctrl	INTS13	INTS13	NA	False
INTS14+ctrl	INTS14	INTS14	NA	False
INTS2+ctrl	INTS2	INTS2	NA	False
INTS3+ctrl	INTS3	INTS3	NA	False
INTS4+ctrl	INTS4	INTS4	NA	False
INTS5+ctrl	INTS5	INTS5	NA	False
INTS6+ctrl	INTS6	INTS6	NA	False
INTS7+ctrl	INTS7	INTS7	NA	False
INTS8+ctrl	INTS8	INTS8	NA	False
INTS9+ctrl	INTS9	INTS9	NA	False
IPO11+ctrl	IPO11	IPO11	NA	False
IPO13+ctrl	IPO13	IPO13	NA	False
IPO7+ctrl	IPO7	IPO7	NA	False
IPO9+ctrl	IPO9	IPO9	NA	False
IRF2BP2+ctrl	IRF2BP2	IRF2BP2	NA	False
ISCA2+ctrl	ISCA2	ISCA2	NA	False
ISCU+ctrl	ISCU	ISCU	NA	False
ISG20L2+ctrl	ISG20L2	ISG20L2	NA	False
IST1+ctrl	IST1	IST1	NA	False
ISY1+ctrl	ISY1	ISY1	NA	False
ITGB1BP1+ctrl	ITGB1BP1	ITGB1BP1	NA	False
IWS1+ctrl	IWS1	IWS1	NA	False
JAZF1+ctrl	JAZF1	JAZF1	NA	False
JMJD6+ctrl	JMJD6	JMJD6	NA	False
KANSL1+ctrl	KANSL1	KANSL1	NA	False
KANSL2+ctrl	KANSL2	KANSL2	NA	False
KANSL3+ctrl	KANSL3	KANSL3	NA	False
KARS+ctrl	KARS	KARS	NA	False
KAT5+ctrl	KAT5	KAT5	NA	False
KAT7+ctrl	KAT7	KAT7	NA	False
KAT8+ctrl	KAT8	KAT8	NA	False
KCMF1+ctrl	KCMF1	KCMF1	NA	False
KCTD10+ctrl	KCTD10	KCTD10	NA	False
KDM1A+ctrl	KDM1A	KDM1A	NA	False
KDM6A+ctrl	KDM6A	KDM6A	NA	False
KEAP1+ctrl	KEAP1	KEAP1	NA	False
KIAA0586+ctrl	KIAA0586	KIAA0586	NA	False
KIF18A+ctrl	KIF18A	KIF18A	NA	False
KIF18B+ctrl	KIF18B	KIF18B	NA	False
KIF20A+ctrl	KIF20A	KIF20A	NA	False
KIN+ctrl	KIN	KIN	NA	False
KLF7+ctrl	KLF7	KLF7	NA	False
KLHL17+ctrl	KLHL17	KLHL17	NA	False
KPNA6+ctrl	KPNA6	KPNA6	NA	False
KPNB1+ctrl	KPNB1	KPNB1	NA	False
KRI1+ctrl	KRI1	KRI1	NA	False
KRR1+ctrl	KRR1	KRR1	NA	False
KTI12+ctrl	KTI12	KTI12	NA	False
LAMTOR1+ctrl	LAMTOR1	LAMTOR1	NA	False
LAMTOR2+ctrl	LAMTOR2	LAMTOR2	NA	False
LAMTOR3+ctrl	LAMTOR3	LAMTOR3	NA	False
LAMTOR4+ctrl	LAMTOR4	LAMTOR4	NA	False
LARS+ctrl	LARS	LARS	NA	False
LAS1L+ctrl	LAS1L	LAS1L	NA	False
LDB1+ctrl	LDB1	LDB1	NA	False
LENG8+ctrl	LENG8	LENG8	NA	False
LEO1+ctrl	LEO1	LEO1	NA	False
LETM1+ctrl	LETM1	LETM1	NA	False
LIN52+ctrl	LIN52	LIN52	NA	False
LIN54+ctrl	LIN54	LIN54	NA	False
LMO2+ctrl	LMO2	LMO2	NA	False
LONP1+ctrl	LONP1	LONP1	NA	False
LPIN1+ctrl	LPIN1	LPIN1	NA	False
LRP5+ctrl	LRP5	LRP5	NA	False
LRPPRC+ctrl	LRPPRC	LRPPRC	NA	False
LRR1+ctrl	LRR1	LRR1	NA	False
LSG1+ctrl	LSG1	LSG1	NA	False
LSM10+ctrl	LSM10	LSM10	NA	False
LSM11+ctrl	LSM11	LSM11	NA	False
LSM12+ctrl	LSM12	LSM12	NA	False
LSM2+ctrl	LSM2	LSM2	NA	False
LSM3+ctrl	LSM3	LSM3	NA	False
LSM4+ctrl	LSM4	LSM4	NA	False
LSM5+ctrl	LSM5	LSM5	NA	False
LSM6+ctrl	LSM6	LSM6	NA	False
LSM7+ctrl	LSM7	LSM7	NA	False
LTBP4+ctrl	LTBP4	LTBP4	NA	False
LTV1+ctrl	LTV1	LTV1	NA	False
LUC7L3+ctrl	LUC7L3	LUC7L3	NA	False
LZTR1+ctrl	LZTR1	LZTR1	NA	False
MAD2L1+ctrl	MAD2L1	MAD2L1	NA	False
MAD2L2+ctrl	MAD2L2	MAD2L2	NA	False
MAGOH+ctrl	MAGOH	MAGOH	NA	False
MAK16+ctrl	MAK16	MAK16	NA	False
MARS+ctrl	MARS	MARS	NA	False
MARS2+ctrl	MARS2	MARS2	NA	False
MASTL+ctrl	MASTL	MASTL	NA	False
MAT2A+ctrl	MAT2A	MAT2A	NA	False
MAU2+ctrl	MAU2	MAU2	NA	False
MAX+ctrl	MAX	MAX	NA	False
MBD3+ctrl	MBD3	MBD3	NA	False
MBIP+ctrl	MBIP	MBIP	NA	False
MBNL1+ctrl	MBNL1	MBNL1	NA	False
MBTPS1+ctrl	MBTPS1	MBTPS1	NA	False
MBTPS2+ctrl	MBTPS2	MBTPS2	NA	False
MCM10+ctrl	MCM10	MCM10	NA	False
MCM2+ctrl	MCM2	MCM2	NA	False
MCM3+ctrl	MCM3	MCM3	NA	False
MCM3AP+ctrl	MCM3AP	MCM3AP	NA	False
MCM4+ctrl	MCM4	MCM4	NA	False
MCM5+ctrl	MCM5	MCM5	NA	False
MCM6+ctrl	MCM6	MCM6	NA	False
MCM7+ctrl	MCM7	MCM7	NA	False
MCMBP+ctrl	MCMBP	MCMBP	NA	False
MDN1+ctrl	MDN1	MDN1	NA	False
MED1+ctrl	MED1	MED1	NA	False
MED10+ctrl	MED10	MED10	NA	False
MED11+ctrl	MED11	MED11	NA	False
MED12+ctrl	MED12	MED12	NA	False
MED14+ctrl	MED14	MED14	NA	False
MED16+ctrl	MED16	MED16	NA	False
MED17+ctrl	MED17	MED17	NA	False
MED18+ctrl	MED18	MED18	NA	False
MED19+ctrl	MED19	MED19	NA	False
MED20+ctrl	MED20	MED20	NA	False
MED21+ctrl	MED21	MED21	NA	False
MED22+ctrl	MED22	MED22	NA	False
MED24+ctrl	MED24	MED24	NA	False
MED26+ctrl	MED26	MED26	NA	False
MED28+ctrl	MED28	MED28	NA	False
MED29+ctrl	MED29	MED29	NA	False
MED30+ctrl	MED30	MED30	NA	False
MED31+ctrl	MED31	MED31	NA	False
MED4+ctrl	MED4	MED4	NA	False
MED6+ctrl	MED6	MED6	NA	False
MED7+ctrl	MED7	MED7	NA	False
MED8+ctrl	MED8	MED8	NA	False
MED9+ctrl	MED9	MED9	NA	False
MEIS3+ctrl	MEIS3	MEIS3	NA	False
MEN1+ctrl	MEN1	MEN1	NA	False
METAP1+ctrl	METAP1	METAP1	NA	False
METAP2+ctrl	METAP2	METAP2	NA	False
METTL14+ctrl	METTL14	METTL14	NA	False
METTL16+ctrl	METTL16	METTL16	NA	False
METTL21A+ctrl	METTL21A	METTL21A	NA	False
METTL3+ctrl	METTL3	METTL3	NA	False
MEX3A+ctrl	MEX3A	MEX3A	NA	False
MFAP1+ctrl	MFAP1	MFAP1	NA	False
MFN2+ctrl	MFN2	MFN2	NA	False
MICOS10+ctrl	MICOS10	MICOS10	NA	False
MIOS+ctrl	MIOS	MIOS	NA	False
MIS12+ctrl	MIS12	MIS12	NA	False
MIS18BP1+ctrl	MIS18BP1	MIS18BP1	NA	False
MLLT6+ctrl	MLLT6	MLLT6	NA	False
MLST8+ctrl	MLST8	MLST8	NA	False
MMP17+ctrl	MMP17	MMP17	NA	False
MMS19+ctrl	MMS19	MMS19	NA	False
MMS22L+ctrl	MMS22L	MMS22L	NA	False
MNAT1+ctrl	MNAT1	MNAT1	NA	False
MOB4+ctrl	MOB4	MOB4	NA	False
MON1A+ctrl	MON1A	MON1A	NA	False
MPHOSPH10+ctrl	MPHOSPH10	MPHOSPH10	NA	False
MPHOSPH6+ctrl	MPHOSPH6	MPHOSPH6	NA	False
MRGBP+ctrl	MRGBP	MRGBP	NA	False
MRM1+ctrl	MRM1	MRM1	NA	False
MRPL10+ctrl	MRPL10	MRPL10	NA	False
MRPL13+ctrl	MRPL13	MRPL13	NA	False
MRPL14+ctrl	MRPL14	MRPL14	NA	False
MRPL16+ctrl	MRPL16	MRPL16	NA	False
MRPL17+ctrl	MRPL17	MRPL17	NA	False
MRPL18+ctrl	MRPL18	MRPL18	NA	False
MRPL19+ctrl	MRPL19	MRPL19	NA	False
MRPL2+ctrl	MRPL2	MRPL2	NA	False
MRPL20+ctrl	MRPL20	MRPL20	NA	False
MRPL22+ctrl	MRPL22	MRPL22	NA	False
MRPL24+ctrl	MRPL24	MRPL24	NA	False
MRPL27+ctrl	MRPL27	MRPL27	NA	False
MRPL3+ctrl	MRPL3	MRPL3	NA	False
MRPL32+ctrl	MRPL32	MRPL32	NA	False
MRPL33+ctrl	MRPL33	MRPL33	NA	False
MRPL34+ctrl	MRPL34	MRPL34	NA	False
MRPL35+ctrl	MRPL35	MRPL35	NA	False
MRPL36+ctrl	MRPL36	MRPL36	NA	False
MRPL37+ctrl	MRPL37	MRPL37	NA	False
MRPL38+ctrl	MRPL38	MRPL38	NA	False
MRPL39+ctrl	MRPL39	MRPL39	NA	False
MRPL4+ctrl	MRPL4	MRPL4	NA	False
MRPL41+ctrl	MRPL41	MRPL41	NA	False
MRPL43+ctrl	MRPL43	MRPL43	NA	False
MRPL49+ctrl	MRPL49	MRPL49	NA	False
MRPL50+ctrl	MRPL50	MRPL50	NA	False
MRPL51+ctrl	MRPL51	MRPL51	NA	False
MRPL53+ctrl	MRPL53	MRPL53	NA	False
MRPL54+ctrl	MRPL54	MRPL54	NA	False
MRPL55+ctrl	MRPL55	MRPL55	NA	False
MRPS10+ctrl	MRPS10	MRPS10	NA	False
MRPS11+ctrl	MRPS11	MRPS11	NA	False
MRPS14+ctrl	MRPS14	MRPS14	NA	False
MRPS18A+ctrl	MRPS18A	MRPS18A	NA	False
MRPS2+ctrl	MRPS2	MRPS2	NA	False
MRPS21+ctrl	MRPS21	MRPS21	NA	False
MRPS22+ctrl	MRPS22	MRPS22	NA	False
MRPS23+ctrl	MRPS23	MRPS23	NA	False
MRPS24+ctrl	MRPS24	MRPS24	NA	False
MRPS26+ctrl	MRPS26	MRPS26	NA	False
MRPS27+ctrl	MRPS27	MRPS27	NA	False
MRPS28+ctrl	MRPS28	MRPS28	NA	False
MRPS33+ctrl	MRPS33	MRPS33	NA	False
MRPS34+ctrl	MRPS34	MRPS34	NA	False
MRPS35+ctrl	MRPS35	MRPS35	NA	False
MRPS7+ctrl	MRPS7	MRPS7	NA	False
MRPS9+ctrl	MRPS9	MRPS9	NA	False
MRTO4+ctrl	MRTO4	MRTO4	NA	False
MTBP+ctrl	MTBP	MTBP	NA	False
MTOR+ctrl	MTOR	MTOR	NA	False
MTPAP+ctrl	MTPAP	MTPAP	NA	False
MVD+ctrl	MVD	MVD	NA	False
MVK+ctrl	MVK	MVK	NA	False
MYBBP1A+ctrl	MYBBP1A	MYBBP1A	NA	False
MYBL2+ctrl	MYBL2	MYBL2	NA	False
MYC+ctrl	MYC	MYC	NA	False
MYSM1+ctrl	MYSM1	MYSM1	NA	False
MZT1+ctrl	MZT1	MZT1	NA	False
N6AMT1+ctrl	N6AMT1	N6AMT1	NA	False
NAA10+ctrl	NAA10	NAA10	NA	False
NAA15+ctrl	NAA15	NAA15	NA	False
NAA20+ctrl	NAA20	NAA20	NA	False
NAA25+ctrl	NAA25	NAA25	NA	False
NAA30+ctrl	NAA30	NAA30	NA	False
NAA35+ctrl	NAA35	NAA35	NA	False
NAA50+ctrl	NAA50	NAA50	NA	False
NACA+ctrl	NACA	NACA	NA	False
NAE1+ctrl	NAE1	NAE1	NA	False
NAF1+ctrl	NAF1	NAF1	NA	False
NAPG+ctrl	NAPG	NAPG	NA	False
NARS+ctrl	NARS	NARS	NA	False
NASP+ctrl	NASP	NASP	NA	False
NAT10+ctrl	NAT10	NAT10	NA	False
NBAS+ctrl	NBAS	NBAS	NA	False
NBPF12+ctrl	NBPF12	NBPF12	NA	False
NCAPD2+ctrl	NCAPD2	NCAPD2	NA	False
NCAPG+ctrl	NCAPG	NCAPG	NA	False
NCAPG2+ctrl	NCAPG2	NCAPG2	NA	False
NCAPH+ctrl	NCAPH	NCAPH	NA	False
NCAPH2+ctrl	NCAPH2	NCAPH2	NA	False
NCBP1+ctrl	NCBP1	NCBP1	NA	False
NCBP2+ctrl	NCBP2	NCBP2	NA	False
NCKAP1+ctrl	NCKAP1	NCKAP1	NA	False
NCL+ctrl	NCL	NCL	NA	False
NDC1+ctrl	NDC1	NDC1	NA	False
NDC80+ctrl	NDC80	NDC80	NA	False
NDOR1+ctrl	NDOR1	NDOR1	NA	False
NDUFA2+ctrl	NDUFA2	NDUFA2	NA	False
NDUFA3+ctrl	NDUFA3	NDUFA3	NA	False
NDUFA6+ctrl	NDUFA6	NDUFA6	NA	False
NDUFA8+ctrl	NDUFA8	NDUFA8	NA	False
NDUFAB1+ctrl	NDUFAB1	NDUFAB1	NA	False
NDUFB10+ctrl	NDUFB10	NDUFB10	NA	False
NDUFB4+ctrl	NDUFB4	NDUFB4	NA	False
NDUFB8+ctrl	NDUFB8	NDUFB8	NA	False
NDUFV2+ctrl	NDUFV2	NDUFV2	NA	False
NEDD1+ctrl	NEDD1	NEDD1	NA	False
NEDD8+ctrl	NEDD8	NEDD8	NA	False
NELFA+ctrl	NELFA	NELFA	NA	False
NELFB+ctrl	NELFB	NELFB	NA	False
NELFCD+ctrl	NELFCD	NELFCD	NA	False
NELFE+ctrl	NELFE	NELFE	NA	False
NEPRO+ctrl	NEPRO	NEPRO	NA	False
NFKBIE+ctrl	NFKBIE	NFKBIE	NA	False
NFRKB+ctrl	NFRKB	NFRKB	NA	False
NFS1+ctrl	NFS1	NFS1	NA	False
NFYB+ctrl	NFYB	NFYB	NA	False
NFYC+ctrl	NFYC	NFYC	NA	False
NHP2+ctrl	NHP2	NHP2	NA	False
NIFK+ctrl	NIFK	NIFK	NA	False
NIP7+ctrl	NIP7	NIP7	NA	False
NKAP+ctrl	NKAP	NKAP	NA	False
NKAPD1+ctrl	NKAPD1	NKAPD1	NA	False
NLE1+ctrl	NLE1	NLE1	NA	False
NMD3+ctrl	NMD3	NMD3	NA	False
NMT1+ctrl	NMT1	NMT1	NA	False
NOB1+ctrl	NOB1	NOB1	NA	False
NOC3L+ctrl	NOC3L	NOC3L	NA	False
NOC4L+ctrl	NOC4L	NOC4L	NA	False
NOL11+ctrl	NOL11	NOL11	NA	False
NOL12+ctrl	NOL12	NOL12	NA	False
NOL6+ctrl	NOL6	NOL6	NA	False
NOL7+ctrl	NOL7	NOL7	NA	False
NOL8+ctrl	NOL8	NOL8	NA	False
NOLC1+ctrl	NOLC1	NOLC1	NA	False
NOM1+ctrl	NOM1	NOM1	NA	False
NOMO1+ctrl	NOMO1	NOMO1	NA	False
NOMO3+ctrl	NOMO3	NOMO3	NA	False
NOP10+ctrl	NOP10	NOP10	NA	False
NOP14+ctrl	NOP14	NOP14	NA	False
NOP16+ctrl	NOP16	NOP16	NA	False
NOP2+ctrl	NOP2	NOP2	NA	False
NOP58+ctrl	NOP58	NOP58	NA	False
NOP9+ctrl	NOP9	NOP9	NA	False
NPLOC4+ctrl	NPLOC4	NPLOC4	NA	False
NPM1+ctrl	NPM1	NPM1	NA	False
NRBP1+ctrl	NRBP1	NRBP1	NA	False
NRDE2+ctrl	NRDE2	NRDE2	NA	False
NRF1+ctrl	NRF1	NRF1	NA	False
NSA2+ctrl	NSA2	NSA2	NA	False
NSF+ctrl	NSF	NSF	NA	False
NSL1+ctrl	NSL1	NSL1	NA	False
NSMCE2+ctrl	NSMCE2	NSMCE2	NA	False
NSRP1+ctrl	NSRP1	NSRP1	NA	False
NUB1+ctrl	NUB1	NUB1	NA	False
NUBP1+ctrl	NUBP1	NUBP1	NA	False
NUBP2+ctrl	NUBP2	NUBP2	NA	False
NUDC+ctrl	NUDC	NUDC	NA	False
NUDCD3+ctrl	NUDCD3	NUDCD3	NA	False
NUDT15+ctrl	NUDT15	NUDT15	NA	False
NUDT21+ctrl	NUDT21	NUDT21	NA	False
NUF2+ctrl	NUF2	NUF2	NA	False
NUFIP1+ctrl	NUFIP1	NUFIP1	NA	False
NUMA1+ctrl	NUMA1	NUMA1	NA	False
NUP107+ctrl	NUP107	NUP107	NA	False
NUP133+ctrl	NUP133	NUP133	NA	False
NUP153+ctrl	NUP153	NUP153	NA	False
NUP160+ctrl	NUP160	NUP160	NA	False
NUP205+ctrl	NUP205	NUP205	NA	False
NUP214+ctrl	NUP214	NUP214	NA	False
NUP35+ctrl	NUP35	NUP35	NA	False
NUP43+ctrl	NUP43	NUP43	NA	False
NUP54+ctrl	NUP54	NUP54	NA	False
NUP62+ctrl	NUP62	NUP62	NA	False
NUP85+ctrl	NUP85	NUP85	NA	False
NUP88+ctrl	NUP88	NUP88	NA	False
NUP98+ctrl	NUP98	NUP98	NA	False
NUTF2+ctrl	NUTF2	NUTF2	NA	False
NVL+ctrl	NVL	NVL	NA	False
OGFOD1+ctrl	OGFOD1	OGFOD1	NA	False
OGT+ctrl	OGT	OGT	NA	False
OLFML3+ctrl	OLFML3	OLFML3	NA	False
OPA1+ctrl	OPA1	OPA1	NA	False
ORC1+ctrl	ORC1	ORC1	NA	False
ORC3+ctrl	ORC3	ORC3	NA	False
ORC4+ctrl	ORC4	ORC4	NA	False
ORC5+ctrl	ORC5	ORC5	NA	False
ORC6+ctrl	ORC6	ORC6	NA	False
OSBP+ctrl	OSBP	OSBP	NA	False
OSGEP+ctrl	OSGEP	OSGEP	NA	False
OSTC+ctrl	OSTC	OSTC	NA	False
OTX1+ctrl	OTX1	OTX1	NA	False
OXA1L+ctrl	OXA1L	OXA1L	NA	False
PABPC1+ctrl	PABPC1	PABPC1	NA	False
PABPC4+ctrl	PABPC4	PABPC4	NA	False
PABPN1+ctrl	PABPN1	PABPN1	NA	False
PAF1+ctrl	PAF1	PAF1	NA	False
PAFAH1B1+ctrl	PAFAH1B1	PAFAH1B1	NA	False
PALB2+ctrl	PALB2	PALB2	NA	False
PAM16+ctrl	PAM16	PAM16	NA	False
PARN+ctrl	PARN	PARN	NA	False
PARS2+ctrl	PARS2	PARS2	NA	False
PAXBP1+ctrl	PAXBP1	PAXBP1	NA	False
PCBP1+ctrl	PCBP1	PCBP1	NA	False
PCBP2+ctrl	PCBP2	PCBP2	NA	False
PCF11+ctrl	PCF11	PCF11	NA	False
PCID2+ctrl	PCID2	PCID2	NA	False
PCM1+ctrl	PCM1	PCM1	NA	False
PCNA+ctrl	PCNA	PCNA	NA	False
PCNX3+ctrl	PCNX3	PCNX3	NA	False
PDAP1+ctrl	PDAP1	PDAP1	NA	False
PDCD11+ctrl	PDCD11	PDCD11	NA	False
PDCD2+ctrl	PDCD2	PDCD2	NA	False
PDCD5+ctrl	PDCD5	PDCD5	NA	False
PDCD7+ctrl	PDCD7	PDCD7	NA	False
PDHA1+ctrl	PDHA1	PDHA1	NA	False
PDPK1+ctrl	PDPK1	PDPK1	NA	False
PDRG1+ctrl	PDRG1	PDRG1	NA	False
PELO+ctrl	PELO	PELO	NA	False
PELP1+ctrl	PELP1	PELP1	NA	False
PES1+ctrl	PES1	PES1	NA	False
PET117+ctrl	PET117	PET117	NA	False
PEX19+ctrl	PEX19	PEX19	NA	False
PFDN2+ctrl	PFDN2	PFDN2	NA	False
PFN1+ctrl	PFN1	PFN1	NA	False
PGAM1+ctrl	PGAM1	PGAM1	NA	False
PGAM5+ctrl	PGAM5	PGAM5	NA	False
PGD+ctrl	PGD	PGD	NA	False
PGK1+ctrl	PGK1	PGK1	NA	False
PGPEP1+ctrl	PGPEP1	PGPEP1	NA	False
PGS1+ctrl	PGS1	PGS1	NA	False
PHAX+ctrl	PHAX	PHAX	NA	False
PHB+ctrl	PHB	PHB	NA	False
PHB2+ctrl	PHB2	PHB2	NA	False
PHF10+ctrl	PHF10	PHF10	NA	False
PHF12+ctrl	PHF12	PHF12	NA	False
PHF5A+ctrl	PHF5A	PHF5A	NA	False
PI4KA+ctrl	PI4KA	PI4KA	NA	False
PIAS1+ctrl	PIAS1	PIAS1	NA	False
PIAS4+ctrl	PIAS4	PIAS4	NA	False
PIGH+ctrl	PIGH	PIGH	NA	False
PIK3C3+ctrl	PIK3C3	PIK3C3	NA	False
PIK3R4+ctrl	PIK3R4	PIK3R4	NA	False
PITRM1+ctrl	PITRM1	PITRM1	NA	False
PKM+ctrl	PKM	PKM	NA	False
PLK1+ctrl	PLK1	PLK1	NA	False
PLK4+ctrl	PLK4	PLK4	NA	False
PLRG1+ctrl	PLRG1	PLRG1	NA	False
PMF1+ctrl	PMF1	PMF1	NA	False
PMPCA+ctrl	PMPCA	PMPCA	NA	False
PMPCB+ctrl	PMPCB	PMPCB	NA	False
PNISR+ctrl	PNISR	PNISR	NA	False
PNKP+ctrl	PNKP	PNKP	NA	False
PNN+ctrl	PNN	PNN	NA	False
PNO1+ctrl	PNO1	PNO1	NA	False
PNPT1+ctrl	PNPT1	PNPT1	NA	False
POGLUT3+ctrl	POGLUT3	POGLUT3	NA	False
POLA1+ctrl	POLA1	POLA1	NA	False
POLA2+ctrl	POLA2	POLA2	NA	False
POLD1+ctrl	POLD1	POLD1	NA	False
POLD2+ctrl	POLD2	POLD2	NA	False
POLD3+ctrl	POLD3	POLD3	NA	False
POLE+ctrl	POLE	POLE	NA	False
POLL+ctrl	POLL	POLL	NA	False
POLR1A+ctrl	POLR1A	POLR1A	NA	False
POLR1B+ctrl	POLR1B	POLR1B	NA	False
POLR1C+ctrl	POLR1C	POLR1C	NA	False
POLR1E+ctrl	POLR1E	POLR1E	NA	False
POLR2A+ctrl	POLR2A	POLR2A	NA	False
POLR2B+ctrl	POLR2B	POLR2B	NA	False
POLR2C+ctrl	POLR2C	POLR2C	NA	False
POLR2D+ctrl	POLR2D	POLR2D	NA	False
POLR2E+ctrl	POLR2E	POLR2E	NA	False
POLR2F+ctrl	POLR2F	POLR2F	NA	False
